x/d,y,y/half_width,u,u/Uo,,x/d,y,y/half_width,u,u/Uo,,x/d,y,y/half_width,u,u/Uo,,x/d,y,y/half_width,u,u/Uo
14,18.4,-0.70672667,8.120618813,0.230235004,,23,21.4,-0.013134943,27.01242411,0.964044272,,26,22.6,0.128847564,25.76289204,1.001153842,,29,21.9,0.04685366,23.954172,0.977777179
14,18.1,-0.775119574,5.235024897,0.148422922,,23,21.1,-0.052539773,26.74157609,0.954377999,,26,22.9,0.163987809,25.46195241,0.989459236,,29,22.2,0.081993904,24.48458697,0.999428007
14,17.8,-0.843512477,2.617512449,0.074211461,,23,20.8,-0.091944602,25.74626545,0.918856436,,26,23.2,0.199128053,25.12334755,0.976300948,,29,22.5,0.117134149,24.3794272,0.995135526
14,17.5,-0.911905381,0,0,,23,20.5,-0.131349432,24.9007854,0.888682165,,26,23.5,0.234268298,24.67621597,0.958925278,,29,22.8,0.152274394,24.48458697,0.999428007
,,,,,,23,20.2,-0.170754261,24.46709173,0.873204106,,26,23.8,0.269408543,24.09675762,0.93640735,,29,23.1,0.187414638,24.43206366,0.997284076
,,,,,,23,19.9,-0.21015909,23.5757822,0.841394231,,26,24.1,0.304548788,23.70258333,0.921089617,,29,23.4,0.222554883,24.22083148,0.988661861
,,,,,,23,19.6,-0.24956392,21.91922491,0.782273488,,26,24.4,0.339689032,23.06160676,0.896181072,,29,23.7,0.257695128,24.13227239,0.985046998
,,,,,,23,19.3,-0.288968749,20.42246888,0.72885588,,26,24.7,0.374829277,22.59263532,0.877956699,,29,24,0.292835373,23.48479081,0.958617668
,,,,,,23,19,-0.328373579,19.89137249,0.709901623,,26,25,0.409969522,21.26477166,0.826355512,,29,24.3,0.327975617,22.74375831,0.928369715
,,,,,,23,18.7,-0.367778408,17.77693749,0.634439719,,26,25.3,0.445109766,20.02012058,0.777987991,,29,24.6,0.363115862,22.19104145,0.905808554
,,,,,,23,18.4,-0.407183238,17.11420837,0.610787632,,26,25.6,0.480250011,19.05577826,0.740513355,,29,24.9,0.398256107,21.89968035,0.893915585
,,,,,,23,18.1,-0.446588067,15.67778523,0.55952324,,26,25.9,0.515390256,18.06368079,0.701960144,,29,25.2,0.433396352,20.67254924,0.843825739
,,,,,,23,17.8,-0.485992897,14.95078568,0.53357741,,26,26.2,0.550530501,17.1891068,0.667973933,,29,25.5,0.468536596,20.14804597,0.822416218
,,,,,,23,17.5,-0.525397726,12.41595171,0.443111921,,26,26.5,0.585670745,16.47681985,0.640294244,,29,25.8,0.503676841,19.07823646,0.778748029
,,,,,,23,17.2,-0.564802556,11.7423954,0.419073423,,26,26.8,0.62081099,15.59563033,0.606050951,,29,26.1,0.538817086,17.84905518,0.728574497
,,,,,,23,16.9,-0.604207385,10.94984017,0.390787982,,26,27.1,0.655951235,14.06532437,0.546582795,,29,26.4,0.57395733,16.98864388,0.693453662
,,,,,,23,16.6,-0.643612214,9.300460427,0.331923398,,26,27.4,0.691091479,12.75617777,0.495708958,,29,26.7,0.609097575,16.47681985,0.672561691
,,,,,,23,16.3,-0.683017044,7.04786796,0.251530803,,26,27.7,0.726231724,11.88736874,0.461946775,,29,27,0.64423782,14.95078568,0.610271023
,,,,,,23,16,-0.722421873,5.552582407,0.198165675,,26,28,0.761371969,10.98887716,0.427031118,,29,27.3,0.679378065,13.78860243,0.562832261
,,,,,,23,15.7,-0.761826703,4.896917394,0.174765698,,26,28.3,0.796512214,10.51086886,0.408455569,,29,27.6,0.714518309,12.6550704,0.516563004
,,,,,,23,15.4,-0.801231532,2.266832275,0.080900798,,26,28.6,0.831652458,9.20791623,0.357822433,,29,27.9,0.749658554,12.1721365,0.496850289
,,,,,,23,15.1,-0.840636362,0,0,,26,28.9,0.866792703,8.32887361,0.323662569,,29,28.2,0.784798799,11.29631766,0.461100539
,,,,,,,,,,,,26,29.2,0.901932948,7.22784249,0.280876163,,29,28.5,0.819939043,10.71263139,0.437275248
,,,,,,,,,,,,26,29.5,0.937073192,5.779311003,0.224585788,,29,28.8,0.855079288,9.527889131,0.388915658
,,,,,,,,,,,,26,29.8,0.972213437,4.43820829,0.172470128,,29,29.1,0.890219533,8.582088484,0.350309344
,,,,,,,,,,,,26,30.1,1.007353682,4.033857598,0.156756936,,29,29.4,0.925359778,8.067715195,0.329313316
,,,,,,,,,,,,26,30.4,1.042493927,3.06930541,0.119274144,,29,29.7,0.960500022,7.345376091,0.299828402
,,,,,,,,,,,,26,30.7,1.077634171,1.850860802,0.071925015,,29,30,0.995640267,6.673373526,0.272398159
,,,,,,,,,,,,26,31,1.112774416,0,0,,29,30.3,1.030780512,5.552582407,0.226648968
,,,,,,,,,,,,,,,,,,29,30.6,1.065920756,5.068791061,0.206901254
,,,,,,,,,,,,,,,,,,29,30.9,1.101061001,4.808677421,0.196283764
,,,,,,,,,,,,,,,,,,29,31.2,1.136201246,3.462643496,0.141340464
,,,,,,,,,,,,,,,,,,29,31.5,1.171341491,2.926467883,0.119454495
,,,,,,,,,,,,,,,,,,29,31.8,1.206481735,0,0
