x/d,y,p_min,p_max,p_avg,u,,x/d,y,p_min,p_max,p_avg,u,,x/d,y,p_min,p_max,p_avg,u,,x/d,y,p_min,p_max,p_avg,u
,,,,,,,23,17.5,87,93,90,12.41595171,,26,26.5,155,162,158.5,16.47681985,,29,25.8,204,221,212.5,19.07823646
,,,,,,,23,17.2,79,82,80.5,11.7423954,,26,26.8,139,145,142,15.59563033,,29,26.1,175,197,186,17.84905518
,,,,,,,23,16.9,75,65,70,10.94984017,,26,27.1,111,120,115.5,14.06532437,,29,26.4,163,174,168.5,16.98864388
,,,,,,,23,16.6,54,47,50.5,9.300460427,,26,27.4,96,94,95,12.75617777,,29,26.7,157,160,158.5,16.47681985
,,,,,,,23,16.3,30,28,29,7.04786796,,26,27.7,79,86,82.5,11.88736874,,29,27,128,133,130.5,14.95078568
,,,,,,,23,16,24,12,18,5.552582407,,26,28,67,74,70.5,10.98887716,,29,27.3,105,117,111,13.78860243
,,,,,,,23,15.7,15,13,14,4.896917394,,26,28.3,69,60,64.5,10.51086886,,29,27.6,84,103,93.5,12.6550704
,,,,,,,23,15.4,4,2,3,2.266832275,,26,28.6,48,51,49.5,9.20791623,,29,27.9,80,93,86.5,12.1721365
,,,,,,,23,15.1,0,0,0,0,,26,28.9,39,42,40.5,8.32887361,,29,28.2,69,80,74.5,11.29631766
,,,,,,,,,,,,,,26,29.2,26,35,30.5,7.22784249,,29,28.5,74,60,67,10.71263139
,,,,,,,,,,,,,,26,29.5,21,18,19.5,5.779311003,,29,28.8,47,59,53,9.527889131
,,,,,,,,,,,,,,26,29.8,14,9,11.5,4.43820829,,29,29.1,48,38,43,8.582088484
,,,,,,,,,,,,,,26,30.1,7,12,9.5,4.033857598,,29,29.4,36,40,38,8.067715195
,,,,,,,,,,,,,,26,30.4,4,7,5.5,3.06930541,,29,29.7,24,39,31.5,7.345376091
,,,,,,,,,,,,,,26,30.7,1,3,2,1.850860802,,29,30,24,28,26,6.673373526
,,,,,,,,,,,,,,26,31,0,0,0,0,,29,30.3,15,21,18,5.552582407
,,,,,,,,,,,,,,,,,,,,,29,30.6,11,19,15,5.068791061
,,,,,,,,,,,,,,,,,,,,,29,30.9,10,17,13.5,4.808677421
,,,,,,,,,,,,,,,,,,,,,29,31.2,4,10,7,3.462643496
,,,,,,,,,,,,,,,,,,,,,29,31.5,2,8,5,2.926467883
,,,,,,,,,,,,,,,,,,,,,29,31.8,0,0,0,0
